User ID,Site Code,Display Name,Rank,Role,City,Province,Role,Region,Branch
7016,7016,7016 - EIGER Adventure Store Pandanaran Boyolali,7016 - EIGER Adventure Store Pandanaran Boyolali Store Head,Store,KABUPATEN BOYOLALI,JAWA TENGAH,Store,REGION 3,JAWA TENGAH 1
7047,7047,7047 - EIGER Adventure Store A.Yani Magelang,7047 - EIGER Adventure Store A.Yani Magelang Store Head,Store,KOTA MAGELANG,JAWA TENGAH,Store,REGION 3,JAWA TENGAH 1
7018,7018,7018 - EIGER Adventure Store Jen.Sudirman Pemalang,7018 - EIGER Adventure Store Jen.Sudirman Pemalang Store Head,Store,KABUPATEN PEMALANG,JAWA TENGAH,Store,REGION 3,JAWA TENGAH 2
2440,2440,2440 - ST EG CISAUK,2440 - ST EG CISAUK Store Head,Store,KABUPATEN TANGERANG,BANTEN,Store,REGION 1,DKI 3
7002,7002,7002 - EIGER Adventure Store Serpong Tangerang,7002 - EIGER Adventure Store Serpong Tangerang Store Head,Store,KOTA TANGERANG SELATAN,BANTEN,Store,REGION 1,DKI 3
2224,2224,2224 - EIGER Adventure Store Ngaliyan Semarang,2224 - EIGER Adventure Store Ngaliyan Semarang Store Head,Store,KOTA SEMARANG,JAWA TENGAH,Store,REGION 3,JAWA TENGAH 2
2003,2003,2003 - EIGER Adventure Store Pelajar Pejuang Bandung,2003 - EIGER Adventure Store Pelajar Pejuang Bandung Store Head,Store,KOTA BANDUNG,JAWA BARAT,Store,REGION 2,JAWA BARAT 2
2113,2113,2113 - EIGER Adventure Store A.Yani Wonosobo,2113 - EIGER Adventure Store A.Yani Wonosobo Store Head,Store,KABUPATEN WONOSOBO,JAWA TENGAH,Store,REGION 3,JAWA TENGAH 2
2241,2241,2241 - EIGER Adventure Store Suprapto Tebing Tinggi,2241 - EIGER Adventure Store Suprapto Tebing Tinggi Store Head,Store,KOTA TEBING TINGGI,SUMATERA UTARA,Store,REGION 3,SUMATERA 3
2245,2245,2245 - EIGER Adventure Store A.Yani Rantau Prapat,2245 - EIGER Adventure Store A.Yani Rantau Prapat Store Head,Store,KABUPATEN LABUHANBATU,SUMATERA UTARA,Store,REGION 3,SUMATERA 3
2104,2104,2104 - EIGER Adventure Store Sutomo PematangSiantar,2104 - EIGER Adventure Store Sutomo PematangSiantar Store Head,Store,KOTA PEMATANG SIANTAR,SUMATERA UTARA,Store,REGION 3,SUMATERA 3
2419,2419,2419 - EIGER Adventure Store Tanjung Bunga Makassar,2419 - EIGER Adventure Store Tanjung Bunga Makassar Store Head,Store,KOTA MAKASSAR,SULAWESI SELATAN,Store,REGION 5,IBT 2
2202,2202,2202 - EIGER Adventure Store Diponegoro Ungaran Semarang,2202 - EIGER Adventure Store Diponegoro Ungaran Semarang Store Head,Store,KABUPATEN SEMARANG,JAWA TENGAH,Store,REGION 3,JAWA TENGAH 2
2032,2032,2032 - EIGER Adventure Store Katamso Semarang,2032 - EIGER Adventure Store Katamso Semarang Store Head,Store,KOTA SEMARANG,JAWA TENGAH,Store,REGION 3,JAWA TENGAH 2
2109,2109,2109 - EIGER Adventure Store Gusdur Jombang,2109 - EIGER Adventure Store Gusdur Jombang Store Head,Store,KABUPATEN JOMBANG,JAWA TIMUR,Store,REGION 4,JAWA TIMUR 3
2013,2013,2013 - EIGER Adventure Flagship Store Siliwangi Bogor,2013 - EIGER Adventure Flagship Store Siliwangi Bogor Store Head,Store,KOTA BOGOR,JAWA BARAT,Store,REGION 1,DKI 4
2328,2328,2328 - EIGER Adventure Store Parung Depok,2328 - EIGER Adventure Store Parung Depok Store Head,Store,KOTA DEPOK,JAWA BARAT,Store,REGION 1,DKI 4
5014,5014,5014 - EIGER Adventure Store Botani Square Bogor,5014 - EIGER Adventure Store Botani Square Bogor Store Head,Store,KOTA BOGOR,JAWA BARAT,Store,REGION 1,DKI 4
5122,5122,5122 - EIGER Adventure Store Grand Mall Maros,5122 - EIGER Adventure Store Grand Mall Maros Store Head,Store,KABUPATEN MAROS,SULAWESI SELATAN,Store,REGION 5,IBT 2
7043,7043,7043 - EIGER Adventure Store Pahlawan Revolusi Ternate,7043 - EIGER Adventure Store Pahlawan Revolusi Ternate Store Head,Store,KOTA TERNATE,MALUKU,Store,REGION 5,IBT 4
2336,2336,2336 - EIGER Adventure Store A.Yani Pacitan,2336 - EIGER Adventure Store A.Yani Pacitan Store Head,Store,KABUPATEN PACITAN,JAWA TIMUR,Store,REGION 4,JAWA TIMUR 3
2397,2397,2397 - EIGER Tactical Store Sumatera Bandung,2397 - EIGER Tactical Store Sumatera Bandung Store Head,Store,KOTA BANDUNG,JAWA BARAT,Store,REGION 2,JAWA BARAT 2
5025,5025,5025 - EIGER Adventure Store Mall Atrium Tanah Abang,5025 - EIGER Adventure Store Mall Atrium Tanah Abang Store Head,Store,KOTA JAKARTA PUSAT,DKI JAKARTA,Store,REGION 1,DKI 1
2218,2218,2218 - EIGER Adventure Store Moh Hatta Luwuk,2218 - EIGER Adventure Store Moh Hatta Luwuk Store Head,Store,KABUPATEN BANGGAI,SULAWESI TENGAH,Store,REGION 5,IBT 2
2079,2079,2079 - EIGER Adventure Store Rajawali Pelembang,2079 - EIGER Adventure Store Rajawali Pelembang Store Head,Store,KOTA PALEMBANG,SUMATERA SELATAN,Store,REGION 2,SUMATERA 1
2353,2353,2353 - EIGER Adventure Store Soetomo Siak,2353 - EIGER Adventure Store Soetomo Siak Store Head,Store,KABUPATEN SIAK,RIAU,Store,REGION 3,SUMATERA 2
7004,7004,7004 - EIGER Adventure Store Gajah Mada Ponorogo,7004 - EIGER Adventure Store Gajah Mada Ponorogo Store Head,Store,KABUPATEN PONOROGO,JAWA TIMUR,Store,REGION 4,JAWA TIMUR 3
2018,2018,2018 - EIGER Adventure Flagship Store Sunset Road Mengwi,2018 - EIGER Adventure Flagship Store Sunset Road Mengwi Store Head,Store,KABUPATEN BADUNG,BALI,Store,REGION 5,IBT 3
5165,5165,5165 - EIGER Adventure Store Summarecon Mall Bandung,5165 - EIGER Adventure Store Summarecon Mall Bandung Store Head,Store,KOTA BANDUNG,JAWA BARAT,Store,REGION 2,JAWA BARAT 2
2197,2197,2197 - EIGER Adventure Store Riau Pekanbaru,2197 - EIGER Adventure Store Riau Pekanbaru Store Head,Store,KOTA PEKANBARU,RIAU,Store,REGION 3,SUMATERA 2
2009,2009,2009 - EIGER Adventure Store Setiabudhi Bandung,2009 - EIGER Adventure Store Setiabudhi Bandung Store Head,Store,KOTA BANDUNG,JAWA BARAT,Store,REGION 2,JAWA BARAT 1
2067,2067,2067 - EIGER Adventure Store Salemba Tanah Abang,2067 - EIGER Adventure Store Salemba Tanah Abang Store Head,Store,KOTA JAKARTA PUSAT,DKI JAKARTA,Store,REGION 1,DKI 1
2367,2367,2367 - EIGER Adventure Store Pinang Ranti Cakung,2367 - EIGER Adventure Store Pinang Ranti Cakung Store Head,Store,KOTA JAKARTA TIMUR,DKI JAKARTA,Store,REGION 1,DKI 2
2266,2266,2266 - EIGER Adventure Flagship Store Andi Djemma Makassar,2266 - EIGER Adventure Flagship Store Andi Djemma Makassar Store Head,Store,KOTA MAKASSAR,SULAWESI SELATAN,Store,REGION 5,IBT 2
2024,2024,2024 - EIGER Adventure Store Cak Doko Kupang,2024 - EIGER Adventure Store Cak Doko Kupang Store Head,Store,KOTA KUPANG,NTT,Store,REGION 5,IBT 3
2239,2239,2239 - EIGER Adventure Store Siliwangi Cibadak Sukabumi,2239 - EIGER Adventure Store Siliwangi Cibadak Sukabumi Store Head,Store,KABUPATEN SUKABUMI,JAWA BARAT,Store,REGION 2,JAWA BARAT 4
