Short branch name,Branch,Region,Klasifikasi Liga 2024,"Klasifikasi Liga 2025, W1","Klasifikasi Liga 2025, W2","Klasifikasi Liga 2025, AVG Score",LIGA 2026
2199 - EIGER Adventure Store A.Yani Banjarmasin,IBT 1,REGION 5,BRONZE,BRONZE,BRONZE,BRONZE,BRONZE
5159 - EIGER Adventure Store AEON Mall Sentul Cibinong,DKI 4,REGION 1,BRONZE,BRONZE,BRONZE,BRONZE,BRONZE
2124 - EIGER Adventure Store A.Yani Waingapu,IBT 3,REGION 5,RISING STAR,BRONZE,SILVER,BRONZE,BRONZE
5064 - EIGER Adventure Store Plaza Tunjungan II Surabaya,JAWA TIMUR 1,REGION 4,SILVER,BRONZE,BRONZE,BRONZE,BRONZE
2243 - EIGER Adventure Store Batara Guru Bau-Bau,IBT 2,REGION 5,SILVER,BRONZE,BRONZE,BRONZE,BRONZE
2292 - EIGER Adventure Store Pemuda Kolaka,IBT 2,REGION 5,BRONZE,BRONZE,SILVER,BRONZE,BRONZE
7038 - EIGER Adventure Store Jen.Sudirman Lubuk Pakam,SUMATERA 3,REGION 3,SILVER,BRONZE,BRONZE,BRONZE,BRONZE
2029 - EIGER Adventure Store Soekarno Hatta Malang,JAWA TIMUR 2,REGION 4,BRONZE,BRONZE,BRONZE,BRONZE,BRONZE
7045 - EIGER Adventure Store Gatot Subroto Ende,IBT 3,REGION 5,BRONZE,BRONZE,BRONZE,BRONZE,BRONZE
5069 - EIGER Adventure Store Royal Plaza Surabaya,JAWA TIMUR 1,REGION 4,BRONZE,BRONZE,BRONZE,BRONZE,BRONZE
2242 - EIGER Adventure Store Sudirman Probolinggo,JAWA TIMUR 2,REGION 4,SILVER,BRONZE,BRONZE,BRONZE,BRONZE
2329 - EIGER Adventure Store Budi Utomo Timika,IBT 4,REGION 5,GOLD,BRONZE,BRONZE,BRONZE,BRONZE
